Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,female,1.175,1.769,0.574,1.582,2.157,2.155,0.988,1.331,1.091,1.833
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,7,3,male,1.114,1.781,0.595,1.527,2.121,2.121,0.982,1.329,1.093,1.904
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,female,1.144,1.838,0.601,1.596,2.197,2.196,0.974,1.327,1.106,1.919
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,1,male,1.147,1.749,0.617,1.519,2.137,2.136,0.980,1.302,1.101,1.863
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,female,1.189,1.859,0.631,1.595,2.226,2.224,1.017,1.388,1.132,1.870
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,2,male,1.097,1.718,0.605,1.434,2.039,2.039,0.951,1.296,1.030,1.859
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,3,female,1.188,1.901,0.623,1.627,2.250,2.250,1.042,1.410,1.168,1.893
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,8,3,male,1.135,1.756,0.569,1.543,2.113,2.112,0.958,1.297,1.076,1.861
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,1,female,1.178,1.839,0.609,1.596,2.204,2.203,0.966,1.333,1.099,1.870
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,1,male,1.052,1.613,0.587,1.361,1.948,1.946,0.864,1.164,0.980,1.849
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,2,female,1.201,1.983,0.655,1.652,2.308,2.307,1.053,1.425,1.221,1.921
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,2,male,1.087,1.690,0.568,1.466,2.034,2.033,0.952,1.257,1.082,1.871
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,3,female,1.175,1.828,0.556,1.647,2.203,2.201,0.997,1.318,1.169,1.872
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,9,3,male,1.135,1.741,0.583,1.539,2.123,2.122,0.971,1.293,1.083,1.869
